,Score_date,Business Type,Main Category,Checking Result (Sub Category),Background detail- ID,Team/Category
64,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,How to check the loan limit,Loan
65,2023-08-28,AFI,Customer,Not meet expectation,Account is temporarily frozen and wants to apply for loan,Loan
66,2023-08-28,AFI,Customer,Not meet expectation,"Cannot use Akulaku Paylater for transaction and appear notiff ""Kula doesn't want to lose connection with you""",Submission of Limit/Credit Points
67,2023-08-28,AFI,Customer,Not meet expectation,Cannot use limit for transactions with the same product that I bought a couple times before,Submission of Limit/Credit Points
68,2023-08-28,AFI,Customer,Not meet expectation,There are bills but do not receive loans,Loan
69,2023-08-28,AFI,Customer,Not meet expectation,Loan agreement does not appear,Loan
70,2023-08-28,AFI,SOP Improvement,Error in typing FAQ,Beda BPJS Ketenagakerjaan dengan BPJS Kesehatan untuk pinjaman,Loan
71,2023-08-28,AFI,SOP Improvement,Error in typing FAQ,How to pay loan bills,Loan
72,2023-08-28,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
73,2023-08-28,AFI,Customer,Not meet expectation,Failed loan application,Loan
74,2023-08-28,AFI,Customer,Not meet expectation,Akulaku Paylater cannot be used,Akulaku Paylater
75,2023-08-28,AFI/ASI,Classification details,Top-FAQ 10 Pertanyaan lainnya,Top-FAQ 10 AFI/ASI,No Category
76,2023-08-28,AFI/ASI,Customer,Not meet expectation,Customer service complaints,No Category
77,2023-08-28,AFI,Operational,Answer not update by Engginer,Application for account unblocking,Account Security
78,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Loan limit decreased,Loan
79,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Delay in bill payments,Collection
80,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Gagal pengajuan Pinjaman,Loan
81,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Cannot be installments,Submission of Limit/Credit Points
82,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Failed loan application,Loan
83,2023-08-28,AFI,Operational,Answer not update by Engginer,Application for unblocking an account,Account Security
84,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Loan Limit decreased,Loan
85,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Delay Paying Loan Bills,Collection
86,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Can't make loans,Loan
87,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Cannot make credit applications in the Akulaku application,Loan
88,2023-08-28,AFI,Customer,Not meet expectation,Constraints Cannot Buy Products,Submission of Limit/Credit Points
89,2023-08-28,AFI,Customer,Not meet expectation,Pembayaran Akulaku Paylater tidak sesuai,Akulaku Paylater
90,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,How to apply for a loan,Loan
91,2023-08-28,ASI,Operational,Answer not update by Engginer,Credit not yet received (Answer ID),Voucher
92,2023-08-28,ASI,Operational,Answer not update by Engginer,Application login constraints,Bug
93,2023-08-28,ASI,SOP Improvement,FAQ Revision Q&A ,Merchant Online - Status will be sent,Merchant Online
94,2023-08-28,ASI,Customer,Not meet expectation,Credit orders failed,Voucher
95,2023-08-28,AFI/ASI,Customer,Not meet expectation,Akulaku email service,No Category
96,2023-08-28,AFI/ASI,SOP Improvement,FAQ Revision Q&A ,Consultation related to complaints and suggestions that cannot be identified,No Category
97,2023-08-28,AFI,Operational,"Code removed, new submission",Lazada paylater- transaction constraints,Akulaku Paylater
98,2023-08-28,AFI,Operational,"Code removed, new submission",Cannot be installments,Submission of Limit/Credit Points
99,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Credit Score Check,Submission of Limit/Credit Points
100,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Failed to apply for a loan,Loan
101,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Loan limit decreased,Loan
102,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,How to Change Account Number,Loan
103,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Loan funds have not been received,Loan
104,2023-08-28,AFI,Customer,Not meet expectation,Do not have BPJS/NPWP for loans,Loan
105,2023-08-28,AFI,Operational,Answer not update by Engginer,Cannot make a loan,Loan
106,2023-08-28,AFI,Customer,Not meet expectation,Tiktok transaction constraints using Akulaku,Submission of Limit/Credit Points
107,2023-08-28,AFI,Customer,Not meet expectation,Loan application back after the bill is paid off,Loan
108,2023-08-28,AFI,Customer,Not meet expectation,Not getting a credit limit,Submission of Limit/Credit Points
109,2023-08-28,AFI,Customer,Not meet expectation,"Late Pay, Cannot Credit Transactions",Submission of Limit/Credit Points
110,2023-08-28,AFI,Customer,Not meet expectation,"Late Pay, Cannot Submit a Loan",Loan
111,2023-08-28,AFI,Customer,Not meet expectation,"Loans do not qualify/fail, previously succeeded",Loan
112,2023-08-28,AFI,Customer,Not meet expectation,Shopping limits cannot be used,Submission of Limit/Credit Points
113,2023-08-28,AFI,Operational,"Code removed, new submission",Cannot be installments,Submission of Limit/Credit Points
114,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Paylater limit cannot be used,Submission of Limit/Credit Points
115,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Paylater submission failed,Submission of Limit/Credit Points
116,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Paylater cannot be used again,Submission of Limit/Credit Points
117,2023-08-28,AFI,Customer,Not meet expectation,Paylater has been paid off but the bill appears,Submission of Limit/Credit Points
118,2023-08-28,AFI,Customer,Not meet expectation,Large Paylater limit but not functioning,Submission of Limit/Credit Points
119,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Want a loan application,Loan
120,2023-08-28,AFI,Customer,Not meet expectation,Loan limits do not increase,Loan
121,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Loans do not pass verification,Loan
122,2023-08-28,AFI,Customer,Not meet expectation,Installment loan application constraints,Loan
123,2023-08-28,AFI,Customer,Not meet expectation,"Can not be a loan, while the limit is available",Loan
124,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,"On time paying loans, but can't borrow",Loan
125,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Cannot apply for a loan,Loan
126,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Loan application is rejected,Loan
127,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Failure to Use Paylater Limit,Submission of Limit/Credit Points
128,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,"Memiliki pinjaman di platform lain, tidak bisa transaksi limit",Submission of Limit/Credit Points
129,2023-08-28,AFI/ASI,SOP Improvement,FAQ Revision Q&A ,Connect to CS,No Category
130,2023-08-28,AFI/ASI,SOP Improvement,FAQ Revision Q&A ,Connect to CS,No Category
131,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Late payment of the bill,Collection
132,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Elimination of fines,Installment/Payment Gateway
133,2023-08-28,AFI,Customer,Not meet expectation,"Want to make a payment, no VA BNI appears",Installment/Payment Gateway
134,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Definition of Akulaku Paylater,Akulaku Paylater
135,2023-08-28,ASI,Customer,Issue not clear,Data Package Not Received,Voucher
136,2023-08-28,ASI,Customer,Not meet expectation,The credit has not been received by the bill has been paid,Voucher
137,2023-08-28,ASI,Customer,Not meet expectation,Credit orders failed,Voucher
138,2023-08-28,ASI,Customer,Not meet expectation,Phone balance has not been received,Voucher
139,2023-08-28,ASI,Operational,Classification details not match,Top Up Funds Cannot Use Akulaku Paylater Limit,Voucher
140,2023-08-28,ASI,Operational,Robot cannot display orders,Merchant Online - Request for Cancel Order,Merchant Online
141,2023-08-28,AFI/ASI,SOP Improvement,FAQ Revision Q&A ,Contact CS Live Chat,No Category
142,2023-08-28,AFI/ASI,Operational,Classification details not match,Pay in full bills and my akulaku will not be used,No Category
143,2023-08-28,AFI,Customer,Not meet expectation,Constraints Cannot Buy Products,Submission of Limit/Credit Points
144,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Credit limit complaints reduced,Submission of Limit/Credit Points
145,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Changes to due date,Collection
146,2023-08-28,AFI,Operational,Answers are out of sync,Cannot make credit applications in the Akulaku application,Submission of Limit/Credit Points
147,2023-08-28,AFI,Customer,Issue not clear,Change the loan tenor,Loan
148,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Cannot submit installment funds,Loan
149,2023-08-28,AFI,Operational,Classification details not match,Unable to make payment,Installment/Payment Gateway
150,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Time to pay the bills,Installment/Payment Gateway
151,2023-08-28,AFI,Customer,Issue not clear,Definition of OJK SLIK,SLIK
152,2023-08-28,AFI,Customer,Not meet expectation,Lazpaylater constraints cannot be used,Akulaku Paylater
153,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Cannot use the Barcode feature,Akulaku Paylater
154,2023-08-28,AFI,Customer,Not meet expectation,Not yet due but contacted,Collection
155,2023-08-28,AFI,Customer,Not meet expectation,Failed payment,Installment/Payment Gateway
156,2023-08-28,AFI,Customer,Not meet expectation,Cannot apply for loan,Loan
157,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Cancellation of loan application,Loan
158,2023-08-28,AFI/ASI,SOP Improvement,FAQ Revision Q&A ,Top up hasn't entered,No Category
159,2023-08-28,AFI/ASI,Operational,"Code removed, new submission",How to find out the evaluation of the assessment,No Category
160,2023-08-28,AFI,Customer,Not meet expectation,Top-FAQ 10 AFI,No Category
161,2023-08-28,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
162,2023-08-28,AFI,Customer,Not meet expectation,How to apply for Installment Funds,Installment/Payment Gateway
163,2023-08-28,AFI,Customer,Not meet expectation,FINE STATUS DANA I have not been updated,Cari Danaku
164,2023-08-28,AFI,Operational,Answers are out of sync,Change the BNC account number,Installment/Payment Gateway
165,2023-08-28,AFI,Customer,Not meet expectation,BNC transfer is canceled,Installment/Payment Gateway
166,2023-08-28,AFI,Customer,Not meet expectation,Pay method cannot be chosen,Installment/Payment Gateway
167,2023-08-28,ASI,Customer,Not meet expectation,Payment discount event,Promo/Undian/Event
168,2023-08-28,AFI,Customer,Not meet expectation,There is no interest free credit limit,Interest-Free Credit Limit
169,2023-08-28,AFI,Operational,Answers are out of sync,Cancellation of profit submission,Interest-Free Credit Limit
170,2023-08-28,AFI,Customer,Not meet expectation,PLN Electric Admin Price Increase,Akulaku Elite Card
171,2023-08-28,AFI,Customer,Not meet expectation,Amount of bill is nor similar with the amount of the transaction made using Akulaku Elite Card,Akulaku Elite Card
172,2023-08-28,AFI,Customer,Not meet expectation,Is it possible to pay Akulaku Elite Card bill on BNI bank?,Akulaku Elite Card
173,2023-08-28,AFI,Customer,Not meet expectation,I can claim Elite Card but cannot activate the card,Akulaku Elite Card
174,2023-08-28,AFI,Customer,Not meet expectation,Why is there an Elite Card transaction that was not operated by myself?,Akulaku Elite Card
175,2023-08-28,AFI,System,Robots don't show up,Cannot use voucher for Elite Card transaction,Akulaku Elite Card
176,2023-08-28,AFI,Customer,Not meet expectation,I can't scan the QR given by merchant for In-Store Installment transaction,Akulaku Paylater
177,2023-08-28,AFI,Customer,Not meet expectation,Buy XXI Tickets Using Akulaku Limit,Akulaku Paylater
178,2023-08-28,AFI,SOP Improvement,FAQ not yet available,The difference between Qris Kaspro and Scan features,Akulaku Paylater
179,2023-08-28,AFI,Customer,Not meet expectation,A fine to pay for the Qris Kaspro bill,Akulaku Paylater
180,2023-08-28,AFI,System,Robots don't show up,Denda muncul 2 kali lipat,Collection
181,2023-08-28,AFI/ASI,Customer,Not meet expectation,Confirm about the problem,No Category
182,2023-08-28,AFI,Customer,Not meet expectation,Tidak bisa melakukan pembayaran,Installment/Payment Gateway
183,2023-08-28,AFI,Operational,Answers are out of sync,The loan bill next month has not yet appeared,Installment/Payment Gateway
184,2023-08-28,AFI,Customer,Not meet expectation,Top-FAQ 10 AFI,No Category
185,2023-08-28,ASI,SOP Improvement,FAQ Revision Q&A ,Credit not yet received (Answer ID),Voucher
186,2023-08-28,ASI,SOP Improvement,FAQ Revision Q&A ,Data Package has not been received,Voucher
187,2023-08-28,ASI,SOP Improvement,Error in typing FAQ,Change of telephone number,Data Change
188,2023-08-28,ASI,SOP Improvement,FAQ Revision Q&A ,Pulse number serial,Voucher
189,2023-08-28,ASI,Customer,Not meet expectation,Data packages cannot be used,Voucher
190,2023-08-28,ASI,SOP Improvement,Error in typing FAQ,Merchant Online - Order status has not been confirmed,Merchant Online
191,2023-08-28,ASI,Customer,Not meet expectation,"Bills appear, orders are sent to others",Merchant Online
192,2023-08-28,AFI,System,Robots don't show up,Available Balance Refund Withdrawal,Refund
193,2023-08-28,ASI,Customer,Not meet expectation,Electronic Signature Constraints Email is registered,Bug
194,2023-08-28,ASI,Operational,Answers are out of sync,Not accepting OTP,Bug
195,2023-08-28,ASI,Customer,Not meet expectation,How to set a payment pin,Bug
196,2023-08-28,ASI,Customer,Not meet expectation,KTP verification constraints,Bug
197,2023-08-28,ASI,SOP Improvement,Error in typing FAQ,"Constraints of BPJS/NPWP Authorization ""Network Constances""",Bug
198,2023-08-28,ASI,SOP Improvement,Error in typing FAQ,"Constraints of BPJS/NPWP Authorization ""Web Exemptions""",Bug
199,2023-08-28,AFI,Customer,Not meet expectation,Giving a different nominal limit of akulaku paylater,Akulaku Paylater
200,2023-08-28,AFI,Customer,Not meet expectation,The maximum deadline for blibli goods returns,Akulaku Paylater
201,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Request for cancellation of Blibli orders that have been paid off,Akulaku Paylater
202,2023-08-28,AFI,SOP Improvement,Error in typing FAQ,Orders through the Blibli application have not been received,Akulaku Paylater
203,2023-08-28,AFI,Customer,Not meet expectation,How to register akulaku,Submission of Limit/Credit Points
204,2023-08-28,AFI,Operational,Answers are out of sync,Submission of Akulaku Paylater was rejected,Akulaku Paylater
205,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Failed to Authorize Facebook,Submission of Limit/Credit Points
206,2023-08-28,ASI,SOP Improvement,Error in typing FAQ,The meaning of the recommendation code,Promo/Undian/Event
207,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Lost credit limit constraints,Submission of Limit/Credit Points
208,2023-08-28,AFI,Customer,Not meet expectation,Installment Payment Process Using Akulaku,Submission of Limit/Credit Points
209,2023-08-28,AFI,Customer,Not meet expectation,How to increase akulaku paylater credit limit,Akulaku Paylater
210,2023-08-28,AFI,Customer,Not meet expectation,"Constraints of Using the ""Pay With Limit"" Method",Submission of Limit/Credit Points
211,2023-08-28,AFI,Operational,Answers are out of sync,Submission of Lazada Paylater Credit Limit Rejected,Akulaku Paylater
212,2023-08-28,AFI,Customer,Not meet expectation,How to transactions in the Akulaku application,Submission of Limit/Credit Points
213,2023-08-28,AFI,Operational,Answers are out of sync,Submission of product returns,Akulaku Paylater
214,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,"Qris payment status is still ""in the process""",Akulaku Paylater
215,2023-08-28,AFI,SOP Improvement,Error in typing FAQ,Logout account when not using,Account Security
216,2023-08-28,AFI,Customer,Not meet expectation,The process of sending loan funds,Loan
217,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,How to pay down,Installment/Payment Gateway
218,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Bill payment notification is not appropriate,Installment/Payment Gateway
219,2023-08-28,AFI,SOP Improvement,Error in typing FAQ,Details of installment bills,Installment/Payment Gateway
220,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,BNC transfer has not yet entered,Installment/Payment Gateway
221,2023-08-28,AFI,SOP Improvement,Error in typing FAQ,Double Pay Loan,Loan
222,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Elimination of loan fines,Loan
223,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Request for bill payment,Collection
224,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Request for bill payment,Collection
225,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Delay Paying Loan Bills,Collection
226,2023-08-28,AFI,Customer,Not meet expectation,"Payment was successful, but still collector",Collection
227,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Definition of full payment,Installment/Payment Gateway
228,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Electronic signature OTP code sent to the old number,Electronic signature
229,2023-08-28,AFI,Customer,Not meet expectation,Name of name,Account Security
230,2023-08-28,ASI,SOP Improvement,FAQ Revision Q&A ,Change Phone Number - Cannot Login (Registered Account),Data Change
231,2023-08-28,ASI,SOP Improvement,FAQ Revision Q&A ,Change Phone Number - Account Rejected Number Cannot Receive SMS,Data Change
232,2023-08-28,AFI,Customer,Not meet expectation,Change KTP photo,Account Security
233,2023-08-28,ASI,SOP Improvement,FAQ Revision Q&A ,Change residential address,Data Change
234,2023-08-28,ASI,Customer,Not meet expectation,Pulse transactions with vouchers are not cut off,Promo/Undian/Event
235,2023-08-28,ASI,Operational,Answer not update by Engginer,Merchant Online - Estimated Delivery,Merchant Online
236,2023-08-28,ASI,Operational,Answer not update by Engginer,JD.ID Products - Delivery Estimates,Produk JD.ID
237,2023-08-28,ASI,Customer,Not meet expectation,Order status is accepted but has not received,Merchant Online
238,2023-08-28,ASI,SOP Improvement,FAQ not yet available,Top Up Credit Wrong Number,Voucher
239,2023-08-28,ASI,SOP Improvement,FAQ Revision Q&A ,Cancellation of PLN Transactions,Voucher
240,2023-08-28,ASI,SOP Improvement,FAQ Revision Q&A ,PLN transactions have not been successful,Voucher
241,2023-08-28,ASI,Operational,Answer not update by Engginer,Method of payment of education,Voucher
242,2023-08-28,ASI,Operational,Answer not update by Engginer,PLN transaction has not been successful,Voucher
243,2023-08-28,ASI,Operational,Answer not update by Engginer,PLN token number has not been received,Voucher
244,2023-08-28,ASI,Customer,Not meet expectation,PLN transaction has not been successful,Voucher
245,2023-08-28,ASI,Operational,Answer not update by Engginer,Data Package has not been received,Voucher
246,2023-08-28,ASI,Operational,Answer not update by Engginer,PLN token number has not been received,Voucher
247,2023-08-28,ASI,Customer,Not meet expectation,Change of telephone number,Data Change
248,2023-08-28,ASI,Customer,Not meet expectation,Credit orders failed,Voucher
249,2023-08-28,ASI,SOP Improvement,FAQ Revision Q&A ,Merchant Online - Resi Number Invalid,Merchant Online
250,2023-08-28,ASI,Customer,Not meet expectation,Merchant Online - Cancel Orders for other reasons,Merchant Online
251,2023-08-28,AFI/ASI,Customer,Not meet expectation,Code number,No Category
252,2023-08-28,AFI/ASI,Customer,Not meet expectation,Complaints of admin fees and repair delivery time,No Category
253,2023-08-28,AFI,Customer,Not meet expectation,Blibli - Cancel status is not appropriate,Akulaku Paylater
254,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,How to submit a credit limit,Submission of Limit/Credit Points
255,2023-08-28,AFI,Customer,Not meet expectation,Credit limit to Rp.0,Submission of Limit/Credit Points
256,2023-08-28,AFI,Customer,Not meet expectation,Submission of Credit Limit Rejected,Submission of Limit/Credit Points
257,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Credit limit application status,Submission of Limit/Credit Points
258,2023-08-28,AFI,Customer,Not meet expectation,Do not have an account for a loan,Loan
259,2023-08-28,AFI,Customer,Not meet expectation,How to check the due loan,Loan
260,2023-08-28,AFI,Customer,Not meet expectation,Loan status has not been successful,Loan
261,2023-08-28,AFI,Customer,Not meet expectation,Loan application using BPJS Employment,Loan
262,2023-08-28,AFI,Customer,Not meet expectation,Loan application tenor,Loan
263,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,"Can not be a loan, the issue of credit quality",Loan
264,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Cannot apply for loan because still have other loan bill,Loan
265,2023-08-28,AFI,Operational,"Code removed, new submission",Limit cannot be used,Loan
266,2023-08-28,AFI,Customer,Not meet expectation,LOAN NOT USING ACCOUNT,Loan
267,2023-08-28,AFI,Customer,Not meet expectation,Already paid off the loan but the bill appeared,Loan
268,2023-08-28,AFI,Customer,Not meet expectation,The limit did not increase after paying the installment bill,Loan
269,2023-08-28,AFI,SOP Improvement,Error in typing FAQ,The limit did not increase after paying the loan bill,Submission of Limit/Credit Points
270,2023-08-28,AFI,Customer,Not meet expectation,Constraints of Bank Name Input for Loans,Loan
271,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Use other people's accounts for loans,Loan
272,2023-08-28,AFI,Customer,Not meet expectation,Installment Bill Repayment Discount,Installment/Payment Gateway
273,2023-08-28,AFI,Customer,Not meet expectation,Block permanent limit,Account Security
274,2023-08-28,AFI,Customer,Not meet expectation,There is a call from Akulaku,Account Security
275,2023-08-28,AFI,Customer,Not meet expectation,Forgot registered email,Account Security
276,2023-08-28,AFI,Customer,Not meet expectation,Account Block Verification Constraints,Account Security
277,2023-08-28,AFI,Customer,Not meet expectation,Limit was stolen by others,Account Security
278,2023-08-28,AFI/ASI,System,Robots don't show up,Report to consumer protection,No Category
279,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Complaints of the Billing Team,Collection
280,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Pembayaran tagihan Pinjaman belum update,Loan
281,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,Elimination of loan fines,Loan
282,2023-08-28,AFI,SOP Improvement,FAQ Revision Q&A ,There is no bill but billed by collectors,Collection
